
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/RankNet.txt

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 5.0E-5

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
28      | 0.1452         | 0.6363    | 0.5744    | 
29      | 0.145          | 0.636     | 0.5725    | 
30      | 0.146          | 0.6352    | 0.5725    | 
31      | 0.1465         | 0.6342    | 0.5689    | 
32      | 0.1465         | 0.6345    | 0.5684    | 
33      | 0.1475         | 0.6295    | 0.5672    | 
34      | 0.1487         | 0.6275    | 0.5677    | 
35      | 0.1492         | 0.627     | 0.5656    | 
36      | 0.1502         | 0.6244    | 0.5605    | 
37      | 0.1512         | 0.6242    | 0.5596    | 
38      | 0.1507         | 0.6247    | 0.5593    | 
39      | 0.1512         | 0.6262    | 0.5586    | 
40      | 0.1507         | 0.6265    | 0.5589    | 
41      | 0.1509         | 0.6257    | 0.559     | 
42      | 0.1517         | 0.6173    | 0.5586    | 
43      | 0.1524         | 0.617     | 0.5582    | 
44      | 0.1517         | 0.6209    | 0.5578    | 
45      | 0.1519         | 0.6208    | 0.5553    | 
46      | 0.1519         | 0.62      | 0.5534    | 
47      | 0.1524         | 0.6196    | 0.5528    | 
48      | 0.1524         | 0.6181    | 0.5522    | 
49      | 0.1522         | 0.618     | 0.5517    | 
50      | 0.1519         | 0.6168    | 0.5517    | 
51      | 0.1524         | 0.6145    | 0.5508    | 
52      | 0.1534         | 0.6138    | 0.5506    | 
53      | 0.1532         | 0.614     | 0.5491    | 
54      | 0.1532         | 0.6159    | 0.5487    | 
55      | 0.1534         | 0.6161    | 0.55      | 
56      | 0.1527         | 0.6186    | 0.5516    | 
57      | 0.1537         | 0.6183    | 0.5512    | 
58      | 0.1539         | 0.6174    | 0.5533    | 
59      | 0.1542         | 0.617     | 0.5531    | 
60      | 0.1542         | 0.6167    | 0.5533    | 
61      | 0.1544         | 0.6152    | 0.5528    | 
62      | 0.1542         | 0.6152    | 0.5515    | 
63      | 0.1534         | 0.615     | 0.5521    | 
64      | 0.1534         | 0.6183    | 0.5525    | 
65      | 0.1542         | 0.6182    | 0.5518    | 
66      | 0.1542         | 0.6187    | 0.5512    | 
67      | 0.1547         | 0.6173    | 0.5507    | 
68      | 0.1549         | 0.6181    | 0.5504    | 
69      | 0.1547         | 0.6181    | 0.5501    | 
70      | 0.1559         | 0.6175    | 0.5501    | 
71      | 0.1559         | 0.6175    | 0.5498    | 
72      | 0.1557         | 0.6184    | 0.55      | 
73      | 0.1554         | 0.6188    | 0.5502    | 
74      | 0.1557         | 0.6152    | 0.5494    | 
75      | 0.1557         | 0.6162    | 0.5486    | 
76      | 0.1554         | 0.616     | 0.5487    | 
77      | 0.1564         | 0.6189    | 0.5487    | 
78      | 0.1569         | 0.6182    | 0.5481    | 
79      | 0.1582         | 0.6168    | 0.5484    | 
80      | 0.1584         | 0.6142    | 0.549     | 
81      | 0.1582         | 0.6136    | 0.5478    | 
82      | 0.1574         | 0.613     | 0.547     | 
83      | 0.1572         | 0.6131    | 0.547     | 
84      | 0.1567         | 0.615     | 0.5453    | 
85      | 0.1564         | 0.6159    | 0.5455    | 
86      | 0.1569         | 0.6158    | 0.5469    | 
87      | 0.1572         | 0.6164    | 0.5468    | 
88      | 0.1572         | 0.6159    | 0.5462    | 
89      | 0.1577         | 0.6152    | 0.5458    | 
90      | 0.1577         | 0.6158    | 0.5459    | 
91      | 0.1589         | 0.6138    | 0.5473    | 
92      | 0.1584         | 0.6139    | 0.5465    | 
93      | 0.1582         | 0.614     | 0.5463    | 
94      | 0.1584         | 0.6144    | 0.5431    | 
95      | 0.1584         | 0.6144    | 0.5434    | 
96      | 0.1584         | 0.6146    | 0.5434    | 
97      | 0.1584         | 0.6146    | 0.542     | 
98      | 0.1589         | 0.6145    | 0.542     | 
99      | 0.1584         | 0.6146    | 0.542     | 
100     | 0.1582         | 0.6143    | 0.5423    | 
--------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.6571
NDCG@10 on validation data: 0.5887
---------------------------------
NDCG@10 on test data: 0.6802

Model saved to: ./model/RankNet.txt
