
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/RankNet_3_30.txt

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 3
No. of hidden nodes per layer: 30
Learning rate: 5.0E-5

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
74      | 0.1679         | 0.6487    | 0.5658    | 
75      | 0.1679         | 0.6487    | 0.5658    | 
76      | 0.1679         | 0.6487    | 0.5658    | 
77      | 0.1679         | 0.6487    | 0.5658    | 
78      | 0.1677         | 0.6487    | 0.5658    | 
79      | 0.1677         | 0.6487    | 0.5658    | 
80      | 0.1677         | 0.6487    | 0.5658    | 
81      | 0.1677         | 0.6485    | 0.5658    | 
82      | 0.1677         | 0.6485    | 0.5658    | 
83      | 0.1677         | 0.6485    | 0.5658    | 
84      | 0.1677         | 0.6485    | 0.5658    | 
85      | 0.1674         | 0.6487    | 0.5658    | 
86      | 0.1672         | 0.6487    | 0.5658    | 
87      | 0.1672         | 0.6487    | 0.5658    | 
88      | 0.1672         | 0.6487    | 0.5658    | 
89      | 0.1669         | 0.6487    | 0.5658    | 
90      | 0.1672         | 0.647     | 0.5653    | 
91      | 0.1669         | 0.647     | 0.5654    | 
92      | 0.1669         | 0.647     | 0.5654    | 
93      | 0.1667         | 0.647     | 0.5654    | 
94      | 0.1667         | 0.647     | 0.5654    | 
95      | 0.1667         | 0.647     | 0.5654    | 
96      | 0.1667         | 0.647     | 0.5654    | 
97      | 0.1667         | 0.647     | 0.5655    | 
98      | 0.1667         | 0.647     | 0.5655    | 
99      | 0.1667         | 0.647     | 0.5655    | 
100     | 0.1667         | 0.647     | 0.5655    | 
--------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.6486
NDCG@10 on validation data: 0.5663
---------------------------------
NDCG@10 on test data: 0.6734

Model saved to: ./model/RankNet_3_30.txt
