
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/LambdaMART_1000_10.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
119     | 0.8645    | 0.6372    | 
120     | 0.8645    | 0.6404    | 
121     | 0.8646    | 0.6385    | 
122     | 0.865     | 0.6383    | 
123     | 0.8647    | 0.6383    | 
124     | 0.8651    | 0.6385    | 
125     | 0.8655    | 0.6392    | 
126     | 0.8654    | 0.6389    | 
127     | 0.8656    | 0.6389    | 
128     | 0.8661    | 0.6381    | 
129     | 0.8658    | 0.6396    | 
130     | 0.8662    | 0.6394    | 
131     | 0.8662    | 0.6403    | 
132     | 0.8658    | 0.642     | 
133     | 0.8658    | 0.6415    | 
134     | 0.8662    | 0.6395    | 
135     | 0.8662    | 0.6376    | 
136     | 0.8662    | 0.6392    | 
137     | 0.8661    | 0.6402    | 
138     | 0.8668    | 0.636     | 
139     | 0.8672    | 0.6379    | 
140     | 0.8675    | 0.6399    | 
141     | 0.8676    | 0.6389    | 
142     | 0.8678    | 0.6358    | 
143     | 0.8679    | 0.6362    | 
144     | 0.868     | 0.6363    | 
145     | 0.8679    | 0.6353    | 
146     | 0.8682    | 0.6352    | 
147     | 0.8682    | 0.6386    | 
148     | 0.8682    | 0.6388    | 
149     | 0.8681    | 0.6377    | 
150     | 0.8682    | 0.6371    | 
151     | 0.8682    | 0.6373    | 
152     | 0.8682    | 0.6374    | 
153     | 0.8682    | 0.6378    | 
154     | 0.8683    | 0.6366    | 
155     | 0.8687    | 0.637     | 
156     | 0.8688    | 0.636     | 
157     | 0.8688    | 0.6374    | 
158     | 0.8688    | 0.6372    | 
159     | 0.869     | 0.6355    | 
160     | 0.869     | 0.636     | 
161     | 0.8691    | 0.637     | 
162     | 0.8696    | 0.6367    | 
163     | 0.8696    | 0.6349    | 
164     | 0.8696    | 0.6352    | 
165     | 0.8702    | 0.635     | 
166     | 0.8705    | 0.6357    | 
167     | 0.8697    | 0.6365    | 
168     | 0.8702    | 0.6355    | 
169     | 0.8702    | 0.636     | 
170     | 0.8704    | 0.6365    | 
171     | 0.8704    | 0.6394    | 
172     | 0.8705    | 0.638     | 
173     | 0.8705    | 0.6378    | 
174     | 0.8703    | 0.6381    | 
175     | 0.8703    | 0.6383    | 
176     | 0.8703    | 0.6387    | 
177     | 0.8704    | 0.6386    | 
178     | 0.8704    | 0.6398    | 
179     | 0.8704    | 0.6403    | 
180     | 0.8705    | 0.6403    | 
181     | 0.8708    | 0.6403    | 
182     | 0.8708    | 0.6406    | 
183     | 0.8708    | 0.6412    | 
184     | 0.8708    | 0.6413    | 
185     | 0.8708    | 0.6435    | 
186     | 0.871     | 0.6427    | 
187     | 0.8712    | 0.6427    | 
188     | 0.8709    | 0.6387    | 
189     | 0.8709    | 0.638     | 
190     | 0.871     | 0.6378    | 
191     | 0.871     | 0.6377    | 
192     | 0.871     | 0.6385    | 
193     | 0.871     | 0.6369    | 
194     | 0.871     | 0.638     | 
195     | 0.871     | 0.6357    | 
196     | 0.8711    | 0.6358    | 
197     | 0.8712    | 0.6356    | 
198     | 0.8712    | 0.6361    | 
199     | 0.8712    | 0.6362    | 
200     | 0.8712    | 0.6365    | 
201     | 0.8712    | 0.6368    | 
202     | 0.8712    | 0.6364    | 
203     | 0.8715    | 0.6363    | 
204     | 0.8715    | 0.6358    | 
205     | 0.8715    | 0.6359    | 
206     | 0.8715    | 0.6356    | 
207     | 0.8715    | 0.6356    | 
208     | 0.8715    | 0.6356    | 
209     | 0.8712    | 0.6355    | 
210     | 0.8712    | 0.6355    | 
211     | 0.8712    | 0.6356    | 
212     | 0.8712    | 0.6355    | 
213     | 0.8712    | 0.6334    | 
214     | 0.8712    | 0.6328    | 
215     | 0.8712    | 0.6329    | 
216     | 0.8713    | 0.6344    | 
217     | 0.8715    | 0.635     | 
218     | 0.8715    | 0.6356    | 
219     | 0.8715    | 0.6363    | 
220     | 0.8716    | 0.6344    | 
221     | 0.8716    | 0.6342    | 
222     | 0.8718    | 0.6357    | 
223     | 0.8718    | 0.6363    | 
224     | 0.8718    | 0.6359    | 
225     | 0.8715    | 0.6349    | 
226     | 0.8718    | 0.6354    | 
227     | 0.8718    | 0.6363    | 
228     | 0.8718    | 0.6356    | 
229     | 0.8718    | 0.636     | 
230     | 0.872     | 0.6357    | 
231     | 0.8718    | 0.6358    | 
232     | 0.8718    | 0.6363    | 
233     | 0.8716    | 0.6364    | 
234     | 0.8716    | 0.6361    | 
235     | 0.8718    | 0.6399    | 
236     | 0.8718    | 0.6392    | 
237     | 0.8718    | 0.64      | 
238     | 0.8718    | 0.6402    | 
239     | 0.8721    | 0.6395    | 
240     | 0.8721    | 0.6401    | 
241     | 0.8721    | 0.6405    | 
242     | 0.8723    | 0.6355    | 
243     | 0.8723    | 0.6349    | 
244     | 0.8723    | 0.6351    | 
245     | 0.8721    | 0.6356    | 
246     | 0.8721    | 0.6352    | 
247     | 0.8721    | 0.6349    | 
248     | 0.8721    | 0.6358    | 
249     | 0.8721    | 0.6355    | 
250     | 0.8724    | 0.6349    | 
251     | 0.8724    | 0.6354    | 
252     | 0.8725    | 0.6353    | 
253     | 0.8725    | 0.6351    | 
254     | 0.8725    | 0.6337    | 
255     | 0.8725    | 0.6364    | 
256     | 0.8729    | 0.6343    | 
257     | 0.8729    | 0.6369    | 
258     | 0.8729    | 0.6365    | 
259     | 0.8729    | 0.637     | 
260     | 0.8729    | 0.6361    | 
261     | 0.8729    | 0.636     | 
262     | 0.8729    | 0.6361    | 
263     | 0.8729    | 0.6352    | 
264     | 0.8729    | 0.6375    | 
265     | 0.8729    | 0.6372    | 
266     | 0.8729    | 0.637     | 
267     | 0.8729    | 0.6375    | 
268     | 0.8729    | 0.6375    | 
269     | 0.8733    | 0.6373    | 
270     | 0.8733    | 0.6378    | 
271     | 0.8733    | 0.6377    | 
272     | 0.8733    | 0.6383    | 
273     | 0.8733    | 0.6378    | 
274     | 0.8733    | 0.6342    | 
275     | 0.8733    | 0.6333    | 
276     | 0.8733    | 0.6332    | 
277     | 0.8733    | 0.633     | 
278     | 0.8733    | 0.6331    | 
279     | 0.8733    | 0.6341    | 
280     | 0.8733    | 0.6332    | 
281     | 0.8733    | 0.6333    | 
282     | 0.8736    | 0.6338    | 
283     | 0.8736    | 0.6336    | 
284     | 0.8736    | 0.6341    | 
285     | 0.8736    | 0.6342    | 
286     | 0.8736    | 0.6342    | 
---------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.8708
NDCG@10 on validation data: 0.6435
---------------------------------
NDCG@10 on test data: 0.7154

Model saved to: ./model/LambdaMART_1000_10.txt
