Timestamp;item 1758;item 40010;item 35731;item 96474;item 97519;item 75501;item 95519;item 93400;item 99826;item 57813;item 19765;item 73140;item 34535;item 100162;item 95431;item 33252;item 71171;item 18065;item 40692;item 16447;item 41126;item 32218;item 82195;item 21329;item 41520;item 56324;item 82269;item 89407;item 86025;item 33276;item 51600;item 94986;item 70328;item 98798;item 2036;item 91168;item 73716;item 88273;item 25170;item 28755;item 99297;item 88274;item 26785;item 76021;item 32919;item 27375;item 94337;item 28291;item 71983;item 18272;item 77826;item 100399;item 59875;item 39062;item 76210;item 87297;item 90251;item 33261;item 25176;item 97336;item 3480;item 35535;item 43640;item 29388;item 97664;item 25761;item 75798;item 44060;item 23127;item 98918;item 30048;item 65016;item 97666;item 83685;item 96880;item 70166;item 50627;item 28959;item 80912;item 40909;item 87970;item 83140;item 29673;item 14226;item 94387;item 37104;item 12558;item 42344;item 51811;item 42887;item 49550;item 30509;item 45937;item 87475;item 95527;item 65825;item 31454;item 29014;item 49139;item 42190;item 8110;item 80718;item 29092;item 76501;item 32258
22.05.2005;0,2;0;1,108;0,656;0;2,23;1;1;0;2;1;2;2;2;3;0;0,498;1;0;0;1;2;1;0;2;2;6;0;0;2;2;0;2;2,12;0;2,496;0;0;1;2;2;6;0;0;0;6;24;4;2;4;3;2;2;1;2;1;2;3;5;9;0;6;2;4;1;0;9;0;8;0;10;10;3;1;0;0;1;4;4;5;18;0;5;7;12;1;2;3;8;4;6;7;14;13;0;8;17;0;37,656;22,746;17;18;45;4;131
23.05.2005;0,212;0;1,176;0,802;2;1,742;0;1;0;2;0;1;2;0;1;0;2,46;0;0;1;3;2;2;0;2;0;6;6;2;1;1;6;1;0,99;0;0,918;1;0;3;3;2;0;1;0;0;5;2;3;3;0;0;1;0;3;6;3;5;0;4;10;2;2;2;2;2;0;2;0;4;4;6;9;7;4;2;0;6;1;1;0;13;0;4;10;8;6;1;4;8;3;5;8;8;13;0;9;21;0;19,968;19,63;13;9;60;4;74
24.05.2005;0,196;0;0,516;0,378;4;1,73;2;1;0;5;0;1;2;0;1;1;3,506;0;0;3;0;3;1;0;4;1;7;1;1;1;1;0;1;2,246;2;1,292;2;1;2;0;3;3;4;4;0;4;3;2;6;1;7;1;4;4;4;2;0;0;1;14;6;4;1;4;3;4;8;4;4;4;7;3;0;3;7;0;5;9;3;7;5;0;4;11;7;8;3;5;8;7;12;7;5;16;0;8;7;0;39,262;35,864;27;13;58;8;60
25.05.2005;0,218;0,594;2,342;0;1;5,482;1;5;2;3;3;2;1;1;2;1;2,504;2;0;3;1;9;1;1;3;0;2;3;1;5;0;3;0;4,434;7;2,01;3;2;1;2;0;4;0;4;2;8;2;4;2;0;3;2;3;4;1;4;4;0;2;6;5;1;4;3;9;6;3;5;5;5;3;9;7;9;5;0;4;6;3;1;4;0;5;8;5;9;0;3;10;8;12;9;10;10;0;6;18;0;28,582;54,234;20;31;71;20;102
26.05.2005;0,712;1,55;4,446;0,832;0;3,536;7;2;2;4;4;8;1;2;2;3;2,398;3;0;2;2;1;4;0;4;0;2;2;3;5;0;0;1;2,566;0;2,128;1;1;4;3;2;3;2;3;0;4;4;2;4;1;9;2;2;0;7;4;1;1;6;7;2;1;1;5;11;5;4;6;4;8;10;6;13;11;7;0;1;5;3;6;11;0;3;4;4;3;2;12;8;12;11;13;6;7;0;5;25;0;29,996;26,028;16;31;43;23;71
27.05.2005;0;0;2,628;0;3;3,404;6;5;0;2;1;0;3;1;1;2;3,82;21;0;2;3;3;1;1;2;3;11;3;3;1;1;0;1;0,316;0;0,38;5;2;4;0;3;3;0;0;2;3;3;1;0;2;3;2;2;0;2;0;0;2;5;13;2;4;2;0;4;2;5;6;4;7;12;5;0;10;4;0;3;4;6;6;4;0;6;4;12;3;1;5;7;11;5;6;29;14;0;8;20;0;75,58;28,508;10;37;44;66;35
28.05.2005;0;2,222;0,684;0,822;1;4,186;5;1;1;2;1;1;3;2;2;1;2,324;2;0;3;2;1;2;1;3;1;3;2;1;2;1;0;1;1,44;0;2,544;1;0;0;1;2;3;3;1;0;2;4;4;0;0;3;0;2;2;5;4;2;1;2;2;1;5;5;4;0;4;3;10;10;5;11;6;0;6;2;0;3;4;6;5;4;0;5;6;0;4;6;6;6;7;11;21;10;0;0;8;11;0;39,92;30,896;17;19;54;13;64
29.05.2005;0,258;1,083;0,472;0,226;1;1,876;1;3;2;1;2;0;1;1;1;2;0,93;0;0;2;1;1;6;0;3;1;6;3;1;0;2;0;2;1,666;2;4,782;0;1;3;6;0;4;3;7;3;5;1;4;0;1;3;1;1;2;5;4;1;2;4;5;2;7;5;6;0;6;4;8;2;1;10;0;0;3;2;0;6;4;1;3;6;0;5;3;0;6;2;8;7;10;9;11;6;15;0;15;12;0;23,778;22,608;24;26;79;12;97
30.05.2005;0,108;1,088;2,158;0,692;0;2,586;1;1;0;0;0;0;1;2;2;0;1,848;2;0;5;0;1;7;1;3;2;2;2;1;3;1;0;1;2,64;2;0,888;5;1;0;1;0;3;3;3;0;4;1;4;0;2;6;7;3;1;2;1;3;3;0;4;1;2;3;5;4;1;3;4;1;2;4;8;10;0;1;0;6;7;0;8;3;0;6;8;10;8;2;3;9;4;7;8;14;13;0;10;18;0;4,34;23,66;19;15;57;7;81
31.05.2005;0;0;0,258;0,446;1;0,986;0;0;1;2;0;1;2;2;0;1;0,914;1;0;1;0;0;5;0;3;3;3;3;2;1;1;0;3;0,318;2;1,942;4;0;1;1;4;3;1;2;0;4;1;1;0;1;2;3;2;1;1;1;0;4;2;4;5;3;1;1;6;3;3;5;4;4;7;3;0;0;1;0;11;4;1;4;9;0;3;6;2;1;4;1;7;4;6;4;2;8;0;4;24;0;0;10,802;7;13;47;6;54
01.06.2005;0,61;1,103;2,19;0,5;1;4,492;0;0;1;2;0;0;1;0;2;1;0,702;0;0;0;4;0;3;1;2;3;2;1;0;1;2;0;1;1,332;2;1,872;0;4;1;5;2;2;1;1;1;4;1;1;0;3;1;0;1;5;6;3;3;4;3;4;2;3;1;7;0;0;5;4;5;2;2;2;0;0;3;0;21;6;6;2;13;0;2;2;11;7;11;2;12;9;16;13;4;10;0;7;31;0;0;21,776;11;14;51;5;51
02.06.2005;0,204;1,56;0,416;0,752;3;0,82;2;1;1;0;2;0;5;1;1;1;3,214;2;0;2;2;1;4;0;4;2;3;1;0;7;0;0;0;2,54;2;3,63;2;3;2;3;3;2;0;2;1;5;4;3;0;5;6;2;2;2;4;3;3;2;2;6;1;5;7;5;2;3;2;10;3;4;2;3;6;9;1;0;1;13;4;3;10;0;4;9;2;7;8;3;11;9;2;16;0;7;0;6;29;0;0;30,41;18;24;61;7;83
03.06.2005;0,34;0;2,066;1,108;0;0,442;2;4;0;0;0;3;3;1;2;0;4,368;2;0;2;0;1;4;0;5;0;0;5;2;2;0;0;3;2,738;3;1,728;0;2;3;0;2;4;4;5;1;7;2;3;0;1;2;1;4;1;6;0;3;2;0;6;1;3;6;6;9;3;8;4;2;0;5;2;11;11;1;0;0;8;7;3;18;0;9;2;7;8;21;3;11;9;13;7;17;6;0;14;37;0;0;34,582;24;21;52;4;64
04.06.2005;0,468;0,409;0;0;1;0,364;2;6;1;3;3;2;1;1;3;0;1,866;1;0;3;0;1;5;0;5;5;4;3;3;2;1;3;1;2,162;3;2,42;4;4;2;2;3;4;2;3;1;3;0;3;0;2;2;3;0;1;8;4;3;0;3;9;5;8;6;2;5;3;8;3;6;5;10;5;3;8;5;0;3;2;2;3;11;0;14;11;4;11;3;0;10;8;9;17;16;0;0;8;14;0;0;28,356;17;23;53;4;132
05.06.2005;0;0,295;0,716;0;2;1,954;0;2;0;1;1;1;1;0;1;3;1,374;0;0;0;0;1;3;0;3;3;4;1;0;0;0;0;0;1,166;2;3,068;2;6;1;1;2;1;3;0;1;6;2;0;0;1;4;1;0;3;2;4;0;1;1;6;1;1;8;4;7;2;6;7;4;5;3;5;5;3;1;0;2;5;4;1;12;0;5;10;2;8;0;1;10;4;9;8;5;17;0;7;9;0,96;0;15,152;12;16;50;9;161
06.06.2005;0,242;0;0,96;0,35;1;0,568;0;3;0;2;1;1;1;2;0;2;1,59;0;0;2;1;1;1;0;0;3;3;3;2;0;1;0;2;2,012;0;0,778;2;2;2;5;3;0;0;1;1;4;14;0;7;0;1;0;1;0;6;2;6;1;2;6;0;5;3;2;5;3;3;6;5;6;8;4;5;4;3;0;2;3;0;1;11;0;8;7;7;7;6;5;4;5;16;7;9;13;0;8;11;0;0;21,62;14;18;39;6;93
07.06.2005;0,566;0;0,662;1,288;0;1,064;3;4;1;1;0;0;2;0;0;1;2,084;2;0;3;0;1;0;0;2;3;1;2;3;2;1;3;1;0,594;0;2,49;3;4;0;3;5;2;1;2;3;5;4;3;9;2;3;2;4;2;0;2;3;1;8;4;0;5;3;2;2;2;0;5;4;7;7;11;0;8;2;2,548;37;7;3;3;17;0;12;2;2;3;19;3;6;6;8;10;5;11;0;17;26;0;0;28,874;0;22;43;4;46
08.06.2005;0,354;0,784;2,132;0,262;1;4,426;3;14;0;6;1;2;0;3;3;4;1,348;0;0;1;1;0;3;0;5;2;3;4;1;4;0;0;1;0,606;4;1,34;8;2;1;3;0;3;2;7;28;3;10;3;4;2;2;3;4;3;1;7;2;3;7;8;2;2;17;2;9;0;5;6;5;6;5;4;12;6;3;10,256;1;4;8;0;5;0;1;2;10;8;25;0;0;8;14;9;1;13;0;9;20;0;0;23,73;8;20;52;17;72
09.06.2005;0,806;0;6,254;0,916;0;6,854;10;6;0;0;2;3;1;0;2;2;8,472;22;0;1;2;1;3;0;1;0;1;1;2;1;1;0;2;4,024;0;0,58;2;5;1;4;2;2;3;3;33;8;3;2;4;6;4;2;9;1;0;1;5;5;4;9;3;1;3;1;14;0;9;7;1;3;6;2;22;11;2;7,296;0;5;3;1;3;0;4;3;4;4;10;4;0;11;7;21;11;14;0;9;25;0;0;22,43;21;37;48;84;50
10.06.2005;0;3,232;5,354;0,604;1;0,502;1;5;1;4;0;1;1;3;2;0;3,336;31;0;2;1;0;1;3;4;3;0;3;7;3;0;0;3;2,128;0;3,272;3;1;4;2;3;3;2;3;40;7;0;6;1;2;2;0;3;1;0;1;3;3;4;8;0;1;0;0;15;0;6;6;4;4;11;4;5;0;2;0;0;2;6;3;10;0;6;0;12;3;0;8;0;11;6;11;16;15;0;10;34;0;0;17,778;18;28;42;60;89
11.06.2005;0,488;0,339;1,258;0,33;2;4,682;3;0;1;0;4;2;5;1;1;2;1,942;1;0;1;3;2;1;1;0;3;0;3;2;0;3;1;1;3,216;0;0,564;2;1;1;2;1;2;0;8;2;4;1;3;4;3;4;2;5;2;6;1;4;1;7;4;2;2;6;2;5;0;0;10;2;4;5;6;0;0;1;0;0;5;0;0;4;0;0;0;10;6;0;4;10;4;9;0;18;1;0;18;19;0;0;19,642;13;24;54;20;150
12.06.2005;0,394;0,627;1,346;0;1;3,18;1;1;0;0;0;3;1;0;2;0;0,954;5;0;6;0;0;1;1;6;0;0;1;5;1;2;2;2;1,624;3;1,378;2;0;0;1;0;2;1;2;2;2;2;2;2;2;3;4;4;2;2;0;4;4;5;2;4;4;1;4;0;0;0;4;5;2;5;8;0;0;3;0;0;8;7;6;6;0;9;0;14;5;0;1;2;5;9;9;8;10;0;20;3;0;0;23,486;21;22;73;5;125
13.06.2005;0,226;0;1,222;0,432;1;2,122;0;1;0;0;1;0;0;1;4;3;2,42;0;0;3;2;0;3;0;0;2;0;1;1;3;0;0;3;1,08;3;0,782;2;3;1;6;0;2;1;2;3;2;0;2;4;4;6;1;0;3;5;4;6;1;2;3;2;1;5;3;0;0;3;4;2;6;8;5;0;0;2;0;0;10;4;3;6;0;1;0;11;6;0;0;9;5;14;11;8;20;0;9;6;0;0;21,73;26;11;48;4;85
14.06.2005;0,566;0;1,122;0;5;2,31;1;3;0;1;1;0;3;1;3;2;0,932;0;0;0;1;1;5;1;0;2;0;1;1;5;3;1;2;0,49;0;1,16;3;6;2;1;2;2;1;1;2;3;1;1;4;2;3;1;1;3;4;2;6;2;3;4;2;1;2;0;3;0;3;7;3;3;3;5;7;0;0;0,928;0;8;5;2;3;0;1;11;4;3;0;0;7;16;8;8;11;17;0;17;15;0;0;26,4;22;20;48;6;125
15.06.2005;0;0;0;0,994;0;1,72;1;1;1;1;1;3;1;0;2;1;1,888;1;0;2;0;1;6;0;2;1;0;3;2;1;3;2;0;1,46;1;1,53;0;4;0;0;1;9;2;0;4;5;5;4;2;0;2;1;4;1;1;3;4;1;4;5;7;3;3;4;8;0;6;4;2;2;3;2;11;0;2;4,544;7;7;1;1;6;0;5;4;7;5;0;2;3;3;11;22;3;12;0;13;21;0;0;26,404;27;21;36;4;29
16.06.2005;0,2;0;2,318;0,612;1;2,746;2;1;0;1;1;1;1;2;2;2;2,636;1;0;3;0;2;2;4;3;1;0;1;2;1;2;2;0;2,234;0;2,724;1;1;4;2;1;4;1;1;1;5;2;6;3;7;4;0;2;2;5;3;4;1;3;1;4;4;0;4;10;0;0;7;2;0;9;3;12;0;3;4,794;3;2;1;0;4;0;0;4;5;12;0;11;14;3;12;14;8;15;0;11;8;0;0;21,788;16;22;10;9;51
17.06.2005;0,482;0,883;0;0,292;1;1,214;1;4;0;3;2;0;3;3;5;1;3,608;0;0;7;2;3;1;0;3;3;0;8;3;2;2;1;0;1,41;4;2,16;6;2;4;3;2;1;6;7;1;8;7;5;1;1;2;1;4;1;2;8;3;1;1;4;5;4;2;1;9;0;7;3;3;3;8;10;0;0;1;6,736;7;4;4;10;8;0;4;1;10;7;0;14;10;9;11;25;21;16;12;8;19;0;0;40,462;17;32;0;5;112
18.06.2005;0;1,158;0,572;0,308;2;0;1;1;0;5;0;7;2;1;4;1;2,378;1;0;3;2;5;1;0;3;2;0;4;5;2;3;0;2;2,566;5;5,18;1;0;4;2;0;2;1;0;0;8;4;5;3;1;6;2;3;3;9;4;7;1;3;1;2;18;3;3;0;0;3;7;2;4;9;9;0;0;4;3,184;5;3;7;1;1;0;2;6;9;8;0;6;11;9;19;2;9;2;24;15;14;0;0;48,09;11;39;0;6;200
19.06.2005;0,496;0,504;0;1,622;2;2,412;0;1;0;1;1;0;0;0;4;4;1,922;3;0;1;1;4;5;0;6;0;0;1;4;0;2;3;2;1,278;4;2,054;1;1;1;2;0;7;0;2;3;6;0;2;2;1;3;6;0;2;2;5;3;2;1;4;0;1;4;3;2;0;4;2;2;1;6;4;9;0;4;0,896;2;4;1;5;3;0;0;9;4;5;0;11;5;4;11;19;6;14;33;23;18;0;0;24,074;0;15;46;9;165
20.06.2005;0,24;0;1,344;0,278;1;0,608;2;1;1;0;0;1;2;3;2;0;1,174;0;0;0;2;2;3;0;2;1;0;2;2;3;0;2;0;1,472;2;3,08;0;2;0;3;3;1;0;6;2;6;0;4;0;5;3;1;5;2;3;0;4;4;2;4;2;5;2;3;5;2;6;6;2;7;7;9;0;3;5;0;5;2;1;5;1;0;3;7;4;6;0;7;7;3;9;19;8;10;0;14;14;0;0;34,2;17;19;48;10;40
21.06.2005;0,41;0,398;0,25;0;2;2,37;0;0;1;1;1;0;1;5;2;1;3,066;1;0;3;0;1;1;0;1;1;0;0;3;7;1;2;1;3,654;2;4,666;1;2;1;1;0;4;4;1;1;4;2;2;0;1;2;2;0;2;0;3;5;1;3;10;0;5;4;3;3;5;2;4;2;1;4;7;1;8;3;0;5;0;5;3;3;0;3;10;3;5;0;9;7;10;22;17;13;15;1;10;5;0;0;36,178;15;25;48;5;81
22.06.2005;0;1,423;1,276;0,668;1;2,37;0;1;0;1;3;3;1;2;2;1;2,136;1;0;0;1;1;5;0;2;2;0;1;3;1;3;1;2;1,946;3;2,484;1;1;0;2;2;2;0;0;2;6;1;2;0;1;4;2;3;1;1;3;5;1;1;4;7;3;4;4;7;3;7;3;2;4;3;8;12;5;4;1,642;2;9;3;6;5;0;3;7;9;5;0;5;5;8;17;20;11;11;4;12;5;0;0;29,72;22;14;48;8;121
23.06.2005;0;0,865;1,086;1,46;2;1,762;1;1;1;3;4;1;2;0;4;1;4,45;3;0;2;0;1;1;1;4;3;0;2;0;1;1;3;1;1,712;0;1,588;4;3;2;6;5;5;1;2;1;9;2;6;0;7;3;3;4;3;2;4;2;2;5;5;1;4;5;1;8;5;4;8;3;3;3;11;3;8;2;2,852;9;3;0;10;6;0;4;10;6;5;0;7;8;8;8;19;7;10;24;14;13;0;0;33,268;20;25;50;9;113
24.06.2005;0,532;0;2,854;2,026;0;2,184;2;2;0;1;1;2;3;2;3;1;2,36;1;0;3;3;4;1;0;2;9;0;8;2;1;0;1;1;2,364;4;1,95;4;4;1;4;1;6;2;5;3;3;1;4;0;1;3;0;4;3;7;4;4;0;6;9;7;1;6;5;0;8;4;7;8;4;6;7;0;5;3;3,376;0;3;4;6;3;0;2;9;5;2;0;8;13;10;15;15;18;11;14;5;10;17,742;6,278;26,37;11;28;59;16;50
25.06.2005;0;0,405;0,932;0,376;2;2,186;1;0;4;3;0;5;2;0;2;1;2,376;1;0;1;1;0;1;2;1;7;0;0;3;0;1;1;3;4,544;4;1,61;5;3;1;1;1;1;0;0;4;5;4;5;0;2;1;3;1;0;6;1;3;3;3;9;6;8;0;3;0;8;7;4;1;1;8;8;0;5;3;1,078;1;0;4;6;4;0;1;8;12;4;0;9;6;7;11;25;11;0;26;0;20;13,94;21,066;48,376;23;24;39;10;85
26.06.2005;0,392;0,339;0,796;0;1;4,014;1;1;5;1;1;0;1;0;2;1;3,722;0;0;1;1;1;3;1;1;2;0;0;0;2;3;3;1;1,776;2;4,096;3;0;0;1;2;2;1;0;2;3;3;1;0;1;2;3;0;3;1;2;3;5;5;3;3;2;4;3;7;5;1;6;0;1;3;6;13;3;1;1,23;6;0;2;12;4;6;8;9;6;4;0;6;5;5;10;9;6;17;9;12;14;10,55;6,468;26,734;15;7;0;6;126
27.06.2005;0,358;0;0,706;0;0;1,392;1;1;0;0;0;0;0;1;3;2;0,464;1;0;3;1;0;0;0;4;3;0;1;3;0;0;2;1;1,102;0;3,698;1;1;0;3;2;2;8;0;1;4;1;1;0;3;1;4;8;3;3;8;2;3;3;9;4;1;2;3;7;0;0;2;3;2;5;6;2;8;2;0;18;3;1;5;3;2;3;4;0;6;0;7;2;7;12;8;11;13;10;20;10;10,554;17,896;33,796;17;12;0;4;29
28.06.2005;0;0,302;0,364;0;3;0;0;2;2;3;1;0;5;3;2;0;0,452;0;0;3;1;1;1;0;1;1;0;3;3;5;0;2;2;0,872;5;1,112;4;1;0;2;0;1;3;1;0;5;5;4;0;4;2;1;0;1;1;4;4;3;2;3;1;3;1;4;1;5;6;6;5;6;6;4;0;4;4;6,306;2;4;5;1;6;4;0;6;0;5;0;11;4;7;5;18;0;8;21;15;21;12,32;6,17;20,506;18;11;48;9;103
29.06.2005;0,384;0;1,194;0,664;1;1,294;1;5;1;2;1;2;5;0;2;1;1,38;3;0;0;0;0;0;0;2;1;0;3;2;3;0;2;3;1,994;3;1,162;1;0;1;0;4;3;3;1;0;3;2;0;0;2;4;3;0;3;1;2;2;1;4;3;3;1;0;0;2;0;6;3;3;6;9;2;2;9;2;3,184;3;3;3;5;4;6;1;8;9;3;0;1;5;1;11;15;6;7;8;13;14;2,508;9,88;28,958;12;18;54;5;68
30.06.2005;0,54;0,476;0;0,914;0;2,578;1;2;1;1;1;1;4;2;4;1;3,47;0;0;0;0;1;0;0;1;1;1;0;2;4;1;2;2;3,728;5;0,966;1;2;2;2;0;1;0;0;3;3;2;2;1;1;1;8;2;2;3;4;2;3;0;10;1;2;0;2;6;1;2;6;2;7;6;4;8;2;4;4,188;1;7;5;4;1;5;3;6;9;7;0;1;1;6;8;5;9;27;4;16;14;10,748;12,668;27,38;12;25;59;7;57
01.07.2005;0,148;1,615;1,84;1,152;2;3,006;1;0;2;5;2;1;3;0;1;3;2,992;2;0;2;0;3;1;0;1;6;0;0;4;3;2;3;0;3,952;0;4,758;2;3;0;3;0;3;2;2;0;1;4;2;3;12;3;1;1;4;6;1;1;4;4;8;1;0;3;4;14;2;5;9;1;3;4;4;13;0;1;5,362;6;5;1;3;11;9;4;3;10;7;4;2;14;6;9;14;12;8;0;16;15;16,156;16,826;29,54;22;33;61;14;108
02.07.2005;0,19;0;2,356;0,884;1;0,406;0;3;3;2;0;0;2;0;4;1;2,326;0;0;5;2;3;2;1;0;3;3;2;3;1;0;2;3;1,384;1;2,742;6;2;0;1;1;1;1;2;0;3;1;2;5;0;2;4;1;1;0;2;4;1;6;3;3;8;0;2;0;4;12;8;5;1;6;2;0;5;1;1,874;2;7;5;1;2;1;2;6;4;3;7;6;6;4;10;27;16;0;0;21;12;19,454;5,992;34,922;16;36;72;14;116
03.07.2005;0;0;1,398;0,6;0;1,43;1;5;3;0;0;1;2;1;2;1;1,426;1;0;3;0;1;1;0;1;1;3;2;3;0;1;0;1;1,55;3;1,95;0;1;2;3;0;1;0;0;1;4;0;3;12;0;2;5;0;2;4;2;5;4;3;8;5;1;3;3;6;0;3;6;2;6;6;5;13;4;1;0,772;1;8;1;6;1;1;1;4;7;9;1;4;7;6;12;14;8;9;0;11;11;5,7;3,366;22,902;13;15;53;5;29
04.07.2005;0,4;0,594;0,888;0,258;0;1,274;2;1;2;0;0;1;3;0;0;2;0,232;1;0;4;2;0;0;1;4;1;1;1;1;4;0;1;0;2,578;1;2,696;3;2;1;2;2;3;2;0;2;1;1;1;4;2;3;2;0;3;6;2;5;3;1;8;2;10;1;3;5;0;5;6;2;3;4;2;5;2;0;1,886;1;5;7;2;5;0;4;6;5;3;3;2;5;11;12;7;8;11;0;7;8;10,012;5,498;23,692;34;13;58;5;76
