Timestamp;item 558;item 834;item 883;item 1311;item 1396;item 1647;item 1689;item 1761;item 1969;item 2036;item 2238;item 2697;item 2826;item 7968;item 8670;item 9018;item 9626;item 10113;item 10654;item 10864;item 11402;item 11865;item 13233;item 13461;item 14157;item 14202;item 14435;item 14475;item 14679;item 14870;item 15109;item 15141;item 15325;item 15342;item 15405;item 15925;item 16460;item 16530;item 17254;item 17273;item 17275;item 17277;item 17304;item 17314;item 17746;item 18071;item 18495;item 19810;item 19811;item 19812;item 20004;item 20076;item 20186;item 20213;item 21061;item 21064;item 21066;item 21190;item 21251;item 21529;item 21530;item 21761;item 22291;item 22476;item 23384;item 23600;item 24771;item 24864;item 24991;item 25386;item 25626;item 25841;item 26452;item 26785;item 26890;item 27063;item 28079;item 28090;item 29362;item 29726;item 29941;item 30655;item 32337;item 32345;item 32964;item 34077;item 34121;item 34122;item 34631;item 34824;item 34893;item 35057;item 37213;item 37469;item 37594;item 37876;item 38007;item 38406;item 38415;item 39222;item 39369;item 40085;item 41004;item 41560;item 41784;item 41994;item 41995;item 42079;item 42356;item 42793;item 43639;item 43809;item 44115;item 45073;item 45341;item 46030;item 46108;item 46805;item 48072;item 50966;item 52425;item 53205;item 53832;item 54017;item 54581;item 54606;item 55515;item 55517;item 56486;item 58076;item 59696;item 61583;item 61969;item 62734;item 64605;item 64742;item 65520;item 68836;item 69922;item 73339;item 73594;item 76033;item 76075;item 76268;item 76365;item 77539;item 79279;item 80510;item 82356;item 87639;item 88121;item 89103;item 89977;item 95417;item 96668
16.10.2005;0.164857609;;;;;;;;5;;;;;;;;9;;;12;;;1;;;;;;;;;;;;;;;;;;0;;;;1;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;1;;;;;;;1;0;;;2;;;5;;;4;;;;;;;1;;;;;5;4;0;;;;1;;;;;;;;;;;;;1;;1;;1;0;16;;;;;;;;;;;;;;;;;;;;;
17.10.2005;0.919030401;;;;;;;;4;;;;;;;;2;;;6;;;1;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;1;0;;;1;;;11;;;1;;;;;;;2;;;;;;1;4;;;;;;;;;;;;;;;;;1;;0;;1;0;3;;;;;;;;;;;;;;;;;;;;;
18.10.2005;0.828250881;;;;;;;;1;5;5;;9;;;;1;3;;14;;;2;;;;;0;;;;;;;;;;;;;1;3;;;0;;;;;;;;;2;;;;;;;;;;5;;;;;;;;;;;;;;;;0;0;;;;;2;0;1;;;0;;;3;;;2;;;1;;;;0;;;;;3;3;2;3;;;1;;5.164;;;;;;;;;;;2;;1;;1;0;8;0.654;;;;;;;;;;;;;;;;;;;;
19.10.2005;-0.02401868;;;;;;;;3;6;0;;4;;;;1;2;;7;;;0;;;;;0;;;;;;;;;;;;;1;0;;;0;1;;;;;;;;0;;;;;;;;;;1;;;;;;;;;;;;;;0;;0;1;;;;;0;0;0;;;1;;;4;;;3;;;0;;;;0;;;;;0;0;0;2;;;0;;3.986;;;;;;;;;;;0;;1;1;1;0;7;0;;;;;;;;;;;;;;;;;;;;
20.10.2005;-0.854205577;;;;;;;;4;2;1;;9;;;;6;3;;10;;;0;;;;;0;;;;;;;;;;;;;1;5;;;1;2;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;2;;1;2;;;;;1;0;0;;;1;;;5;;;4;;;2;5;;;1;;;;;6;2;;3;;;2;;0.258;;;;;;;;;;;1;;1;5;0;1;8;0.614;;;;;;;;;;;;;;;;;;;;
21.10.2005;-0.899039806;;;;;;;;2;2;2;;17;;;;2;3;;11;;;;;;;;0;;;;;;;;;;;;;3;4;;;3;2;;;;;;;;5;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;0;;;;;1;;;;;1;;;11;;1;2;;;1;3;;;4;;;;;1;3;0;1;;;2;;2.424;;;;;;;;;;;1;;0;3;2;1;5;6.352;;;;;;;;;;;;;;;;;;;;
22.10.2005;-0.117300984;;;;;;;;3;4;4;;34;;;;1;4;;6;;;0;;;;;0;;;;;;;;;;;;;5;3;;;2;5;;;;;;;;1;;;;;;;;;;4;;;;;;;;;;;;;;1;;2;4;;;;;1;0;0;;;0;;;3;;2;3;;;2;3;;;0;;;;;1;1;3;2;;;1;;2.336;;;;;;;;;;;2;;0;0;0;1;7;1.72;;;;;;;;;;;;;;;;;;;;
23.10.2005;0.772283822;;;;;;;;6;8;2;;14;5.192;;;3;0;;6;;;1;;;;;0;;;;;;;;;;;;1;3;2;;;2;1;;;;;;;;6;;;;;;;;;;1;;;;;;;;;;;;;;1;;2;1;;;;;2;1;0;;;2;;;15;;0;1;;;1;1;;;4;;;;;3;4;2;0;;;0;;0;;;;;;;;;;;1;;1;0;1;1;10;3.882;;;;;;;;;;;;;;;;;;;;
24.10.2005;0.951834443;;;;;;;;1;1;0;;3;6.684;;;4;0;;10;;;1;;;;;1;;;;;;;;;;;;1;0;0;;;;0;;;;;;;;6;;;;;;;;;;0;;;;;;;;;;;;;;1;;1;2;;;;;3;1;0;;;0;;;5;;0;1;;;3;2;;;2;;;;;0;0;2;2;;;2;;0;;;;;;;;;;;1;;1;0;1;2;11;0.526;;;;;;;;;;;;;;;;;;;;
25.10.2005;0.256272867;;;;;;;;1;7;3;;6;3.534;0;;5;1;;4;;;0;;;0;;3;;;;;;;;1;;;;0;4;2;;;0;;;;;;;8;;3;;1.372;;;;;;;;1;;;;;;;;;;;;;0.936;1;;3;0;;;;;5;0;0;;;2;;;2;5;0;2;;;0;4;;;0;;;;;5;4;0;0;;2;2;;1.058;;;;;;;;;;;1;;1;;1;0;4;0.712;3;;;;;;;;;;;;;;;;;;;
26.10.2005;-0.674904801;;;;;;;;1;5;3;;14;5.086;0;;4;0;;9;;;0;;;0;;9;;;;;;;;2;;;;0;1;1;;;0;7;0;;;;;5;;4;;0.194;;;;;;;;1;;;;;;;;;;;;;0.176;2;;0;0;;;;;0;0;0;;;1;;;8;2;1;0;;;2;2;;;1;;;;;2;2;0;0;;2;1;;2.358;;;;;;;;;;;1;;0;4;3;0;8;1.446;5;;;;;;;;;;;;;;;;;;;
27.10.2005;-0.985578108;;;;;;;;0;4;1;;3;2.064;0;;1;2;;10;;;0;0;;2;;5;;;;;;;;2;;;;1;1;1;;;1;1;1;;;;;8;;4;;0.634;;;;;;;;1;;;;;;;;;;;;;0.318;0;;0;1;;;;;;0;1;;;1;;;2;3;2;2;;;0;0;;;0;;;;;0;1;2;2;;2;0;;1.476;;;;;;;;;;;0;;0;2;1;0;6;4.536;2;;;;;;;;;;;;;;;;;;;
28.10.2005;-0.390115447;;;;;;;;6;6;1;;14;0.34;1;;2;2;;12;;;1;1;;0;;6;;;;;;;;1;;;;1;5;3;;;1;0;2;;;;;7;;6;;3.104;;;;;;;;1;;;;;;;;;;;;;2.27;1;;1;4;;;;;3;2;3;;;4;;;5;1;1;2;;;1;1;;;1;;;;;2;4;0;1;;3;0;;0;;;;;;;;;;;1;;;1;1;0;11;4.934;2;;;;;;;;;;;;;;;;;;;
29.10.2005;0.564017557;;;;;;;;2;10;6;;16;0;3;;2;3;;11;;;1;0;;4;;11;;;;;;;;3;;;;0;2;5;;;1;0;0;;;;;7;;11;;0.618;;;;;;;;3;;;;;;;;;;;;;5.7;2;;2;3;;;;;3;1;5;2;;0;;;2;4;3;1;;;5;7;;;2;;;;;2;5;5;1;;3;;;4.634;;;;;;;;;;;0;;1;2;3;1;8;1.84;4;;;;;;;;;;;;;;;;;;;
30.10.2005;0.99959542;;;;;;;;5;0;6;;9;0;0;;4;3;;8;;;0;3;;1;;6;;;;;;;;3;;;;0;1;3;;;2;0;1;;;;;5;;11;;0.566;;;;;;;;3;;;;;;;;;;;;;1.042;1;;0;1;;;;;5;1;0;1;;3;;;15;4;2;2;;;2;3;;;0;;;;;0;0;2;1;;5;3;;0.37;;;;;;;;;;;1;;3;0;1;0;7;2.732;2;;;;;;;;;;;;;;;;;;;
31.10.2005;0.516149864;;;;;;;;1;1;2;;11;0;0;;0;0;;8;;;0;2;;1;;1;;;;;;;;2;;;;0;0;0;;;1;0;0;;;;;5;;5;;2.006;;;;;;;;0;;;;;;;;;;;;;0.842;0;;0;0;;;;;3;0;1;1;;0;;;3;2;0;0;;;2;3;;;1;;;;;1;3;1;;;2;0;;0;;;;;;;;;;;1;;1;3;;2;7;0.518;3;;;;;;;;;;;;;;;;;;;
01.11.2005;-0.441841496;;;;;;;;4;6;4;;15;0;4;;0;2;;4;0;;0;0;;0;;7;;2;;;;;;0;;;;2;0;;;;1;;0;;;;;11;;5;;0.294;;0;;;;;;0;;;;;;;;;;;;;0.58;0;;0;0;;;;;0;2;0;0;;0;;;5;2;1;2;;;2;2;;;1;;;;;3;2;0;0;;0;0;;0.968;;;;;;;;;;;1;;0;1;0;1;3;1.648;6;;0;;;;;;;;;;;;;;;;;
02.11.2005;-0.993605823;;;;;;;;;3;0;;9;0;0;;4;3;;8;2;;0;0;2;2;;9;;1;;;;;;1;;;;1;1;0;;;;0;1;;;;;5;;4;;;;1.63;;;;;;1;;;;;;;;;;;;;1.014;5;;3;1;;;;;3;0;0;2;;1;;;7;6;2;0;;;5;1;;;1;;;;;2;5;0;0;;2;1;;0.828;;;;;;;;;;;0;;2;3;1;0;8;1.89;1;;3;;;;;;;;;;;;;;;;;
03.11.2005;-0.631853538;;;;;;;;3;;0;;4;0;1;;6;2;;14;0;;0;0;7;0;;5;;0;;;;;;3;;;;5;0;2;;;0;0;1;;;;;6;;5;;2.096;;3.004;;;;;;3;;;;;;;;;;;;;3.124;1;;0;1;;;;;3;0;0;;;1;;;12;5;0;1;;;2;4;;;0;;;;;1;4;1;0;;3;0;;2.119;;;;;;;;;;;1;;0;0;1;;6;0.65;1;;0;;;;;;;;;;;;;;;;;
04.11.2005;0.310821976;;;;;;;;2;1;0;;36;0;1;;7;1;;12;1;;0;0;1;4;;11;;2;;;;;;5;;;;3;0;1;;;2;0;0;;;;;9;;5;;0;;2.706;;;;;;2;;;;;;;;;;;;;2.754;4;;1;3;;;;;3;0;;1;;4;;;6;4;5;2;;;7;7;;;1;;;;;4;2;0;1;;2;0;;0.766;;;;;;;;;;;2;;0;4;0;1;11;2.168;5;;4;;;;;;;;;;;;;;;;;
05.11.2005;0.967729198;;;;;;;;1;4;5;;14;0;1;;3;0;;4;0;;2;1;1;6;;1;;0;;;;;;3;;;;1;0;4;;;2;0;0;;;;;7;;7;;1.496;;1.442;;;;;;;;;;;;;;;;;;;2.86;1;;1;1;;;;;3;0;0;2;;2;;;4;5;3;5;;;6;8;;;0;;;;;2;0;0;2;;6;0;;2.392;;;;;;;;;;;1;;2;1;0;1;10;4.212;1;;3;;;;;;;;;;;;;;;;;
06.11.2005;0.734910659;;;;;;;;4;3;2;;8;0;1;;1;2;;10;0;;0;2;0;2;;5;;2;;;;;;0;;;;0;0;1;;;1;0;0;;;;;7;;7;;0;;3.412;;;;;;0;;;;;;;;;;;;;3.408;5;;1;2;;;;0;4;0;1;2;;1;;;7;1;0;2;;;3;1;;;1;;;;;1;1;3;1;;3;4;;1.532;;;;;;;;;;;2;;0;0;1;4;2;2.804;2;;2;;;;;;;;;;;;;;;;;
07.11.2005;-0.173581351;;;;;;;;0;7;0;;8;0;0;;0;2;;4;1;;2;0;1;0;;2;;1;;;;;;1;;;;2;0;1;;;1;0;0;;;;;6;;3;;1.12;;3.038;;;;;;0;;;;;;;;;;;;;0.718;3;;0;1;;;;0;0;0;1;0;;1;;;4;5;1;3;;;2;3;;;0;;;;;2;0;0;0;;3;;;2.568;;;;;;;;;;;0;;0;1;0;0;9;0.734;1;;3;;;;;;;;;;;;;;;;;
08.11.2005;-0.922483467;;;;;;;;2;3;0;;4;0;;;1;6;;5;0;;0;1;3;0;;17;;0;;;;;;3;;;;0;1;3;;;1;0;0;;;;;8;;3;;0.774;;2.216;;;;;;0;;;;;;;;;;;;;0.854;0;;2;1;;;;0;1;0;1;0;;0;;;3;0;0;3;;;2;;;;2;;;;;1;4;0;0;;3;0;;1.746;;;;;;0;;;;;0;;0;0;3;1;7;4.212;2;;0;;;;;;;;;;;;;;;;;
09.11.2005;-0.823258538;;;;;;;;2;6;0;;7;0;0;;1;0;;6;0;;1;1;1;1;;5;;0;;;;;;1;;;;0;0;1;;;3;0;0;;;;;2;;9;;0.552;;1.882;;;;;;0;;;;;;;;;;;;;0.768;1;;1;2;;;;2;0;0;1;0;;0;;;2;3;1;3;;;0;3;;;1;;;;;1;2;0;0;;2;2;;1.018;;;;;;1;;;;;1;;0;0;1;0;7;0.772;2;;1;;;;;;;;;;;;;;;;;
10.11.2005;0.032866495;;;;;;;;0;4;0;;8;0;0;;1;0;;8;0;;1;0;3;1;;2;;1;;;;;;2;;;;1;0;1;;;0;0;0;;;;;2;;7;;1.624;;1.57;;;;;;1;;;;;;;;;;;;;0.154;2;;1;0;;;;0;2;0;1;0;;2;;;10;1;0;1;;;3;0;;;0;;;;;2;0;11;2;;1;0;;0.536;;;;;;1;;;;;0;;0;0;6;2;10;1.288;3;;0;;;;;;;;;;;;;;;;;
11.11.2005;0.858774224;;;2;;;;;2;7;0;;12;0;0;;1;2;;7;1;;0;1;0;0;;3;;5;;;;;;1;;;;1;0;1;;;2;0;0;;;;;6;;11;;1.844;;4.472;;;;;;1;;;;;;;;;;;;;3.056;1;;0;1;;;;0;2;1;1;3;;3;;;1;3;2;1;;;5;1;;;0;;;;;3;2;0;1;;5;2;;0;;;;;;0;;;;;0;;0;0;0;0;5;;3;;1;;;;;;;;;;;;;;;;;
12.11.2005;0.895128892;;;4;;;;;0;6;0;;28;0;3;;2;5;;12;1;;0;2;0;0;;0;;1;;;;;;4;;;;1;0;4;;;2;0;0;;;;;5;;13;;1.476;;2.53;;;;;;2;;;;;;;;;;;;;2.988;5;;0;2;;;;;;1;0;2;;1;;;11;3;2;5;;;4;2;;;3;;;;;2;5;2;2;;2;0;;0;;;;;;3;;;;;3;;2;3;1;1;3;0.748;5;;3;;;;;;;;;;;;;;;;;
13.11.2005;0.108506185;;;2;;;;;2;5;0;;8;0;0;;4;3;;3;1;;0;0;1;2;;5;;3;;;;;;7;;;;3;0;2;;;3;0;0;;;;;7;;3;;0;;3.076;;;;;;2;;;;;;;;;;;;;2.3;3;;0;1;;;;2;5;0;0;3;;1;;;0;5;2;7;;;2;0;;;2;;;;;3;0;1;4;;4;2;;0;;;;;;1;;;;;2;;0;0;0;0;17;1.398;6;;2;;;;;;;;;;;;;;;;;
14.11.2005;-0.777876608;;;0;;;;;1;3;0;;5;0;1;;2;;;7;0;;0;0;4;1;;6;;2;;;;;;0;;;;1;0;2;;;1;0;0;;;;;3;;4;;1.06;;1.352;;;;;;0;;;;;;;;;;;;;0.47;0;;0;1;;;;0;1;0;2;0;;3;;;1;1;1;2;;;;1;;;3;;;;;1;1;;;;0;0;;1.122;;;;;;1;;;;;0;;0;0;0;2;2;1.656;1;;2;;;;;;;;;;;;;;;;;
15.11.2005;-0.949083235;;;0;;;;;2;6;0;;16;0;0;;0;1;;5;0;;;0;0;0;;7;;2;;;;;4;2;;;;0;0;1;;;;0;1;;;;;4;;4;;1.05;;1.736;1;0;1;;;0;;;;;;;;;;;;;0.338;3;;0;2;;;;1;3;0;1;0;;0;;;6;1;;0;;;3;2;;;3;;;;;3;1;14;;;1;2;;3.962;;;;;;0;;;;;1;;0;1;2;0;14;1.932;1;;6;;;;;;;;;;;;;;;;;
16.11.2005;-0.247707113;;;0;;;;;2;5;0;;8;0;0;;4;4;;3;1;;0;0;0;0;;5;;1;;;;;1;1;;;;1;0;0;;;2;0;0;;;;;6;;5;;1.046;;2.42;5;0;0;;;0;;;;;;;;;;;;;0.852;3;;0;0;;;;2;1;1;1;1;;0;;;3;1;2;3;;;3;2;;;0;;;;;2;2;1;1;;1;0;;2.524;;;;;;0;;;;0;1;;0;2;0;0;7;1.938;2;;1;;;;;;;;;;;;;;;;;
17.11.2005;0.681409787;;;0;;;;;1;5;0;;9;0;0;;1;2;;6;0;;1;1;0;0;;4;;0;;;;;2;0;;;;1;;2;;;2;0;0;;;;;8;;7;;0;;3.764;3;0;0;;;2;;;;;;;;;;;;;3.334;1;;0;0;;;;0;5;0;0;0;;2;;;5;5;1;1;;;1;2;;;3;;;;;;3;0;1;;2;1;;0.718;;;;;;2;;;;1;2;;1;;2;0;5;1.564;1;;;;;;;;;;;;;;;;;;;
18.11.2005;0.984041671;;;1;;;;;5;5;0;;10;0;0;;4;4;;8;2;;0;0;0;1;;3;;1;;;;;0;1;;;;1;1;3;;;1;2;0;;;;;15;;9;;2.64;;1.894;0;2;0;;;4;;;;;;;;;;;;;1.85;1;;0;2;;;;5;4;0;0;1;;2;;;1;3;1;1;;;13;4;;;0;;;;;2;3;0;1;;5;1;;1.852;;;;;;1;;;;2;1;;1;1;3;1;11;5.214;4;;0;;;;;;;;;;;;;;;;;
19.11.2005;0.381950181;;;0;;;;;1;8;0;;27;0;1;;2;3;;9;0;;0;0;0;1;;2;;2;;;;;3;5;;;;2;4;0;;;4;3;0;;;;;12;;13;;1.076;;2.954;0;1;3;0;;4;;;;;;;;;;;;;4.384;7;;0;1;;;;2;1;2;1;2;;3;;;8;6;0;3;;;9;6;;;1;;;;;1;1;0;1;;0;1;;2.842;;;;;;1;;;;0;3;;1;1;1;1;8;3.574;7;;3;;;;;;;;;;;;;;;;;
20.11.2005;-0.571304544;;;0;;;;;3;7;0;;2;0;3;;1;4;;1;0;;0;0;0;0;;3;;0;;;;;4;2;;;;0;4;0;;;1;0;0;;;;;1;;7;;1.056;;4.24;1;0;0;0;;2;;;;;;;;;;;;;1.272;4;;0;2;;;;0;5;1;0;0;;;;;2;8;8;4;;;9;3;;;1;;;;;2;2;3;0;;2;0;;0.954;;;;;;1;;;;1;2;;2;3;2;0;5;1.528;2;;3;;;;;;;;;;;;;;;;;
21.11.2005;-0.999304505;;;1;;;;;3;5;0;;6;0;0;;2;5;;6;0;;0;0;;0;;8;;1;;;;;0;0;;;;1;0;4;;;2;0;0;;;;;2;;4;;0.944;;0.718;0;0;0;0;;1;;;;;;;;;;;;;0.3;1;;0;2;;;;0;1;0;1;1;;1;;;1;4;0;2;;;3;2;;;3;;;;;2;1;0;0;;6;0;;2.41;;;;;;0;;;;0;0;;0;2;0;0;12;1.762;2;;1;;;;;;;;;;;;;;;;;
22.11.2005;-0.508548513;;;0;;;;;2;8;0;;3;0;0;;2;0;1;7;0;;1;2;2;1;;7;;0;;;;1;2;0;;;;0;1;3;;;;3;0;;;;;6;;8;;0.934;;1.634;3;0;1;1;;1;;;;;;;;;;;;;0.828;2;;0;;;;;0;2;;0;1;;1;;;1;1;2;2;;;3;3;;;1;1;;;;2;4;0;0;;3;1;2;0.874;;8;;;;0;;;;0;1;;0;1;2;1;7;1.458;3;;1;;;;;;;;;;;;;;;;;
23.11.2005;0.449764637;;;3;;;;;;6;0;;5;0;1;;1;1;1;6;0;;2;0;1;0;3;5;;0;;;;1;1;3;;;;0;2;4;;;0;7;0;;;;;2;;2;;;;3.318;0;0;0;1;;;;;;;;;;;;;;;2.942;0;;;2;;1;;0;0;0;0;1;;0;;;2;0;1;3;;;2;1;;;2;2;;;5;3;1;0;1;;4;0;1;1.496;;11;;;;1;;;;;0;;2;1;1;0;5;3.58;2;;0;;;;;;;;;;;;;;;;;
24.11.2005;0.994566254;;;3;;;;;0;2;0;;10;0;0;;3;5;4;6;0;;0;0;3;;0;6;;1;;;;1;1;1;;;;3;2;2;;;1;0;0;;;;;6;;4;;1.242;;2.826;3;2;2;0;;3;;;;;;;;;;;;;1.998;1;;1;1;;2;;0;2;0;0;0;;3;;;6;5;0;3;;;3;6;;;0;1;;;2;2;3;0;0;;2;0;1;2.144;;1;;;;0;;;;1;1;;1;1;1;0;5;;5;;3;;;;;;;;;;;;;;;;;
25.11.2005;0.624968244;;;5;;;;;2;5;0;;9;0;0;;1;2;4;8;0;;0;0;2;4;0;8;;5;;;;0;3;0;;;;1;3;3;;;1;0;0;;;;;1;;6;;2.106;;2.816;3;1;1;0;;7;;;;;;;;;;;;;3.56;4;;2;;;2;;3;5;1;0;2;;2;;;3;2;2;1;;;4;3;;;1;0;;;0;2;2;0;1;;3;0;0;3.822;;7;;;;0;;;;1;1;;1;0;1;3;15;3.424;2;;1;;;;;;;;;;;;;;;;;
26.11.2005;-0.319222687;;;1;;;;;0;4;0;;15;0;3;;7;;3;7;;;0;1;3;5;2;8;;1;;;;1;5;4;;;;2;2;6;;;4;0;0;;;;;2;;8;;1.796;;2.36;1;3;5;4;;4;;;;;;;;;;;;;1.856;6;;2;4;;2;;1;2;2;1;1;;1;;;7;4;4;4;;;4;2;;;1;1;;;16;4;3;9;1;;2;1;0;4.96;;4;;;;4;;;;0;1;;1;2;0;1;10;3.574;2;;3;;;;;;;;;;;;;;;;;
27.11.2005;-0.969921752;;;1;;;;;3;1;0;;5;0;3;;1;2;1;3;0;;2;0;4;2;1;2;;3;;;;0;5;4;;;;1;3;2;;;0;0;1;;;;;4;;6;;0.614;;0.638;2;3;1;0;;4;;;;;;;;;;;;;1.052;3;;0;2;;1;;1;3;0;1;2;;0;;;6;2;1;6;;;2;0;;;2;0;;;1;1;3;0;1;;5;1;0;0.78;;9;;;;1;;;;1;2;;0;1;2;0;9;2.494;5;;1;;;;;;;;;;;;;;;;;
