
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/RankNet_3_30.txt

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 3
No. of hidden nodes per layer: 30
Learning rate: 5.0E-5

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
36      | 0.1562         | 0.6266    | 0.5559    | 
37      | 0.1562         | 0.6266    | 0.556     | 
38      | 0.1564         | 0.6264    | 0.5559    | 
39      | 0.1567         | 0.6258    | 0.5559    | 
40      | 0.1567         | 0.6258    | 0.5555    | 
41      | 0.1564         | 0.6258    | 0.5555    | 
42      | 0.1564         | 0.6258    | 0.5555    | 
43      | 0.1564         | 0.6258    | 0.5556    | 
44      | 0.1564         | 0.6258    | 0.5556    | 
45      | 0.1564         | 0.6258    | 0.5556    | 
46      | 0.1564         | 0.6258    | 0.5556    | 
47      | 0.1564         | 0.6258    | 0.5556    | 
48      | 0.1564         | 0.6258    | 0.5556    | 
49      | 0.1564         | 0.6258    | 0.5556    | 
50      | 0.1564         | 0.6259    | 0.5556    | 
51      | 0.1564         | 0.6259    | 0.5556    | 
52      | 0.1564         | 0.6258    | 0.5556    | 
53      | 0.1564         | 0.6258    | 0.5556    | 
54      | 0.1564         | 0.6258    | 0.5556    | 
55      | 0.1564         | 0.6258    | 0.5556    | 
56      | 0.1564         | 0.6258    | 0.5555    | 
57      | 0.1567         | 0.6258    | 0.5555    | 
58      | 0.1567         | 0.6258    | 0.5555    | 
59      | 0.1567         | 0.6258    | 0.5555    | 
60      | 0.1567         | 0.6258    | 0.5555    | 
61      | 0.1567         | 0.6257    | 0.5555    | 
62      | 0.1567         | 0.6257    | 0.5555    | 
63      | 0.1564         | 0.6257    | 0.5555    | 
64      | 0.1564         | 0.6257    | 0.5555    | 
65      | 0.1564         | 0.6257    | 0.5555    | 
66      | 0.1564         | 0.6257    | 0.5558    | 
67      | 0.1564         | 0.6257    | 0.5558    | 
68      | 0.1564         | 0.6257    | 0.5558    | 
69      | 0.1564         | 0.6257    | 0.5558    | 
70      | 0.1564         | 0.6257    | 0.5558    | 
71      | 0.1564         | 0.6257    | 0.5558    | 
72      | 0.1567         | 0.6257    | 0.5558    | 
73      | 0.1567         | 0.6257    | 0.5558    | 
74      | 0.1567         | 0.6257    | 0.5558    | 
75      | 0.1567         | 0.6257    | 0.5558    | 
76      | 0.1567         | 0.6257    | 0.5558    | 
77      | 0.1567         | 0.6257    | 0.5558    | 
78      | 0.1567         | 0.6257    | 0.5558    | 
79      | 0.1567         | 0.6257    | 0.5558    | 
80      | 0.1567         | 0.6257    | 0.5558    | 
81      | 0.1567         | 0.6257    | 0.5556    | 
82      | 0.1567         | 0.6257    | 0.5556    | 
83      | 0.1567         | 0.6257    | 0.5556    | 
84      | 0.1567         | 0.6257    | 0.5556    | 
85      | 0.1567         | 0.6257    | 0.5556    | 
86      | 0.1567         | 0.6257    | 0.5556    | 
87      | 0.1567         | 0.6257    | 0.5556    | 
88      | 0.1567         | 0.6257    | 0.5556    | 
89      | 0.1567         | 0.6257    | 0.5556    | 
90      | 0.1567         | 0.6257    | 0.5556    | 
91      | 0.1567         | 0.6257    | 0.5556    | 
92      | 0.1567         | 0.6257    | 0.5556    | 
93      | 0.1567         | 0.6257    | 0.5556    | 
94      | 0.1567         | 0.6257    | 0.5556    | 
95      | 0.1567         | 0.6257    | 0.5556    | 
96      | 0.1567         | 0.6257    | 0.5556    | 
97      | 0.1567         | 0.6257    | 0.5556    | 
98      | 0.1567         | 0.6257    | 0.5556    | 
99      | 0.1567         | 0.6257    | 0.5556    | 
100     | 0.1567         | 0.6257    | 0.5556    | 
--------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.6266
NDCG@10 on validation data: 0.556
---------------------------------
NDCG@10 on test data: 0.6377

Model saved to: ./model/RankNet_3_30.txt
